CompanyName,Phone,Email,Website,Street,City,Province,Postal Code,Country,Badges,CitrixRelationship
"Computer Sciences Canada, Inc.","1 450 6478008","","www.csc.com","555 Legget Dr Tower A Suite 900","Kanata","ON","K2K 2X3","CA","System Integrator",
"IBM","1 204 49464900","krruoho@us.ibm.com","www.ibm.com","400 Ellice Avenue","Winnipeg","MB","R3B 3M3","CA","System Integrator",
"Bell Canada","1 905 56143557","louis.paquin@bell.ca","http://www.bell.ca","930 D'Aiguillon Rue 5E Etage E","Quebec","QC","G1R 5M9","CA","Citrix Solution Advisor - platinum",
"Compugen Inc.","1 905 7072000","virtualone@compugen.com","http://www.compugen.com","100 Via Renzo Dr","Richmond Hill","ON","L4S 0B8","CA","Citrix Solution Advisor - platinum,Citrix Service Provider",
"DLS Technology Corporation","613 2498818","info@dlstech.com","www.dlstech.com","1376 Bank Sreet Suite 306","Ottawa","ON","K1H 7Y3","CA","Citrix Solution Advisor - platinum,Citrix Service Provider",
"IT Weapons Inc","905 4941040","info@itweapons.com","http://www.itweapons.com","7965 Goreway Drive Unit 1","Brampton","ON","L6T 5T5","CA","Citrix Solution Advisor - platinum,Citrix Service Provider",
"Long View Systems","1 403 5156900","partnerinfo@lvs1.com","www.lvs1.com","3100, 255 5th Avenue SW","Calgary","AB","T2P 3G6","CA","Citrix Solution Advisor - platinum,Citrix Service Provider",
"SoftChoice LP","416 5889000","candice.garner@softchoice.com","www.softchoice.com","173 Dufferin Street Suite 200","Toronto","ON","M6K 3H7","CA","Citrix Solution Advisor - gold, platinum",
"Acrodex Inc","1 780 4264444","alaa.sabbagh@acrodex.com","www.acrodex.com","11420 170 St NW","Edmonton","AB","T5S 1L7","CA","Citrix Solution Advisor - gold",
"CloudOps","1 888 7968364","sales@cloudops.com","http://www.cloudops.com","420 Guy Rue","Montreal","QC","H3J 1S6","CA","Citrix Solution Advisor - gold,Citrix Service Provider",
"CompuCom Canada Co.","1 519 96736618","ron.henager@compucom.com","http://www.compucom.com/","1830 Matheson Boulevard Unit 1","Mississauga","ON","L4W 0B3","CA","Citrix Solution Advisor - gold",
"Gibraltar Solutions Inc","1 905 8589072","lle@gibraltarsolutions.com","http://www.gibraltarsolutions.com","6990 Creditview Rd Suite 4","Mississauga","ON","L5N 8R9","CA","Citrix Solution Advisor - gold,Citrix Service Provider",
"Malicis consultation","1 514 8491100","eazemard@malicis.com","http://www.malicis.com","6465 Durocher Av Suite 401","Outremont","QC","H2V 3Z1","CA","Citrix Solution Advisor - gold",
"Metafore Technologies Inc.","1 905 53628300","software@metafore.ca","http://www.metafore.ca","9393 Louis-H.-Lafontaine Boul","Anjou","QC","H1J 1Y8","CA","Citrix Solution Advisor - gold",
"ProContact informatique","1 418 8711622","robert.breault@procontact.ca","http://www.procontact.ca","1000 Saint-Jean-Baptiste Av Suite 111","Quebec","QC","G2E 5G5","CA","Citrix Solution Advisor - gold",
"Third Octet Inc.","647 7280610","mtoste@thirdoctet.com","http://www.thirdoctet.com","6175 Highway #7 Unit 2","Vaughan","ON","L4H 0P6","CA","Citrix Solution Advisor - gold,Citrix Service Provider",
"3GL Technology Solutions","1 780 4992888","gerd@3gl.ca","http://www.3gl.ca","831 Proctor Wynd","Edmonton","AB","T5T 6J3","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"A-Power Computer Ltd.","1 604 2735667","business@a-power.com","http://www.a-power.com","1038 2560 Shell Rd","Richmond","BC","V6X 0B8","CA","Citrix Solution Advisor - silver",
"A.D. Microcircuit Computers","1 604 2762012","kimson@admicro.net","http://www.admicro.net","17782 River Rd Suite 124","Richmond","BC","V6X 1Z7","CA","Citrix Solution Advisor - silver",
"ABM Integrated Solution","1 902 4689140","kmacdonald@abmis.ca","www.abmis.ca","98 Williams Ave","Dartmouth","NS","B3B 0A1","CA","Citrix Solution Advisor - silver",
"Accara IT Services","1 613 36349339","bfleming@accara.ca","www.accara.ca","443 Tanglewood Dr","Kingston","ON","K7M 7V6","CA","Citrix Solution Advisor - silver",
"ACCEO Solutions Inc","800 3617098","thierry.bonte@gfisolutions.com","www.gfisolutions.com","75 Queen Rue Suite 6100","Montreal","QC","H3C 2N6","CA","Citrix Solution Advisor - silver",
"Access Info-Tech","1 514 2886000","mbernard@groupeaccess.ca","http://www.access-it.ca/","1255 University Rue Suite 100","Montreal","QC","H3B 3A9","CA","Citrix Solution Advisor - silver",
"Accessweb Corporation","416 4164166501854","info@accessweb.ca","","50 Riverside Dr","Pefferlaw","ON","L0E 1N0","CA","Citrix Solution Advisor - silver",
"ACESI Canada Inc","1 514 3126318","ecucchietti@ace-si.com","http://www.ace-si.com","4020, Rue Saint Ambroise Suite 269","Montreal","QC","H4C 2C7","CA","Citrix Solution Advisor - silver",
"AD Micro Technology Inc","1 604 2762012","kimson@admicro.net","http://www.admicrocircuit.com","11782 River Rd Suite 124","Richmond","BC","V6X 1Z7","CA","Citrix Solution Advisor - silver",
"Agfa HealthCare Corporation","001 201 373","christina.nota@agfa.com","http://www.agfahealthcare.com/usa/en/main/","77 Belfield Rd.","Toronto","ON","M9W 1G6","CA","Citrix Solution Advisor - silver",
"Agora Global Networks Inc.","1 519 2522626","citrix@agoraglobal.com","http://www.agoraglobal.com","2996 Deziel Dr Suite C","Windsor","ON","N8W 5H8","CA","Citrix Solution Advisor - silver",
"AMA Inc.","1 905 58263922","sales@ama.ca","www.ama.ca","6699 Campobello Rd","Mississauga","ON","L5N 2L7","CA","Citrix Solution Advisor - silver",
"Amador Business Computers","1 780 04832727","kmouallem@amadorgroup.com","http://amador.ca/","17509 107 Ave NW","Edmonton","AB","T5S 1E5","CA","Citrix Solution Advisor - silver",
"Anchor Managed Solutions Ltd.","1 306 2420095","support@anchorms.com","http://www.anchorms.com","103-1359 Fletcher Road","Saskatoon","SK","S7M 5H5","CA","Citrix Solution Advisor - silver",
"AndroÃ¯de","819 379 2866","ventes@androide.com","http://www.androide.com","6215, rue Corbeil","Trois-Rivieres","QC","G8Z 4P8","CA","Citrix Solution Advisor - silver",
"Animate Inc","001 416 5352516","licensing@animate.com","http://www.animate.com/","133 Richmond St W Suite 600","Toronto","ON","M5H 2L3","CA","Citrix Solution Advisor - silver",
"Applied Computer Solutions Inc","1 519 9444300","jpolicella@acs.on.ca","www.acs.on.ca","3020 St Etienne Blvd","Windsor","ON","N8W 5E6","CA","Citrix Solution Advisor - silver",
"AROLINC CORPORATION","001 888 2360001","info@arolinc.com","http://www.arolinc.com","465 Yonge St PO Box 73067 Wood St","Toronto","ON","M4Y 2W5","CA","Citrix Solution Advisor - silver",
"Ashlin Technology Solutions Inc.","1 416 2563096","sales@ashlin.ca","http://citrix.ashlin.ca","528 Cranbrooke Ave","Toronto","ON","M5M 1N8","CA","Citrix Solution Advisor - silver",
"Atcomtel Communications Inc.","1 416 6132779","info@atcomtel.com","http://www.atcomtel.com","71 Rosedale Ave. West Unit A10","Brampton","ON","L4L 8K5","CA","Citrix Solution Advisor - silver",
"Atum Corporation","1 416 4108444","jwilliams@atum.com","http://www.atum.com","4950 Yonge St Suite 514","Toronto","ON","M2N 6K1","CA","Citrix Solution Advisor - silver",
"Aura Advanced Technologies Inc","1 403 2696123","kiml@auraadvanced.com","www.auraadvanced.com","1121 6 Ave SW #1301- 1121-6 Ave SW","Calgary","AB","T2P 5J4","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Avaropoint","1 866 8290650","info@avaropoint.com","http://www.avaropoint.com","112 Branlyn Cres","Brantford","ON","N3P 1Z9","CA","Citrix Solution Advisor - silver",
"Avema Corporation","001 416 3645711","rcole@avema.com","http://www.avema.com","266 King St W Unit 400","Toronto","ON","M5V 1H8","CA","Citrix Solution Advisor - silver",
"Axanto Group Inc.","001 905 5643100","info@axantogroup.com","http://www.axantogroup.com","6705 Tomken Rd Suite 221","Mississauga","ON","L5T 2J6","CA","Citrix Solution Advisor - silver",
"Baez-Group","001 416 6457422","info@baez-group.com","http://www.baez-group.com","330 Bay St","Toronto","ON","M5H 2S8","CA","Citrix Solution Advisor - silver",
"Barricade IT","001 905 6647587","barricadeit@gmail.com","http://barricadeit.com","28 King St W B16-28 King Street West","Stoney Creek","ON","L8G 1H4","CA","Citrix Solution Advisor - silver",
"Bay Street IT Solutions","416 6377526","info@baystreet-it.ca","http://www.baystreet-it.ca","4 King St W Suite 1310","Toronto","ON","M5H 1B6","CA","Citrix Solution Advisor - silver",
"Beauvel-Micronsult, Inc.","1 514 8401377","francoisb@beauvelmicro.com","www.beauvelmicro.com","204 du Saint-Sacrement Rue Suite 201","Montreal","QC","H2Y 1W8","CA","Citrix Solution Advisor - silver",
"Bellefleur Informatiques","1 450 4333010","sylvain2012@videotron.ca","http://www.bellefleurinformatiques","8 DuBois Rue","Sainte-Therese","QC","J7E 1J7","CA","Citrix Solution Advisor - silver",
"Bercell Integrated Technologies","1 705 52687064","sacha@bercell.com","www.bercell.com","293 Lois Cres","Timmins","ON","P4P 1G6","CA","Citrix Solution Advisor - silver",
"Binatech Software Inc.","1 905 55277007","mike.haworth@binatech.com","www.binatech.com","1 Hughson St N Suite 203","Hamilton","ON","L8R 3L5","CA","Citrix Solution Advisor - silver",
"Blair Technology Solutions","1 905 4745922","jjblair@blairtechnology.com","http://www.blairtechnology.com","306 Town Centre Blvd. Suite 201","Markham","ON","L3R 0Y6","CA","Citrix Solution Advisor - silver",
"BMK Virtual IT Solutions Ltd","1 778 2311489","citrix@bmkvits.ca","http://www.bmkvits.ca","100 Royal Pk Suite 200","West Vancouver","BC","V7T 1A2","CA","Citrix Solution Advisor - silver",
"Boardwalk Communications","1 250 3824880","sales@bdwalk.com","http://www.bdwalk.com","4464 Markham St Suite 2304","Victoria","BC","V8Z 7X8","CA","Citrix Solution Advisor - silver",
"Britec Computer Systems Ltd.","1 403 37207010","roger@britec.com","www.britec.com","1400 Kensington Rd NW Suite 204","Calgary","AB","T2N 3P9","CA","Citrix Solution Advisor - silver",
"BTC Systems Co.","604 765 8549","sales@btcsystems.ca","http://bycststems.ca","68 A Ave Suite 14835","Surrey","BC","V3S 6B1","CA","Citrix Solution Advisor - silver",
"Bulletproof InfoTech Inc.","1 403 3401011","jeff.anderson@bulletproofit.ca","www.bulletproofIT.ca","7711 50 Ave Suite 11","Red Deer","AB","T4P 1M7","CA","Citrix Solution Advisor - silver",
"Business Evolution Consulting Inc.","1 587 2871790","inquiry@dreampractice.ca","http://dreampractice.ca","160 Quarry Park Blvd SE Suite 300","Calgary","AB","T2C 3G3","CA","Citrix Solution Advisor - silver",
"Byte-Tech Computing Services Inc.","001 403 2772882","sales@bytetech.ca","http://www.bytetech.ca","3200 14 Ave NE Suite 8","Calgary","AB","T2A 6J4","CA","Citrix Solution Advisor - silver",
"BZ Inc","418 4186882727","francois.bergeron@bzinc.ca","www.bzinc.ca","1 Re Avenur Suite 5345","Quebec","QC","G1H 2V5","CA","Citrix Solution Advisor - silver",
"C & I Technologies Inc.","011 519 7631193","inam@citechnologies.com","http://citechnologies.com","265 Edinburgh Rd S","Guelph","ON","N1G 2J6","CA","Citrix Solution Advisor - silver",
"C4GS Corporation","001 416 6133463","info@c4gs.ca","http://www.c4gs.ca","54-5255 Lakeshore Rd","Burlington","ON","L7L 5X9","CA","Citrix Solution Advisor - silver",
"Canada Compufixonsite Inc","780 451 4874","gord@compufixcan.com","http://www.compufixcan.com","10603-172St","Edmonton","AB","T5S 1P1","CA","Citrix Solution Advisor - silver",
"Canadian Health Systems.","1 613 7273372","info@chsinc.ca","http://chsinc.ca","1902 Robertson Rd Suite 204","Ottawa","ON","K2H 5B8","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
"Caretek IT Solutions","416 6309555","josephs@caretek.ca","http://www.caretek.ca","1900 Clark Blvd Suite 8","Brampton","ON","L6T 0E9","CA","Citrix Solution Advisor - silver",
"Celero Solutions","306 566 1251","softwareinformation@celero.ca","http://www.celero.ca","2055 Albert St","Regina","SK","S4P 3G8","CA","Citrix Solution Advisor - silver,Citrix Service Provider",
